run,bench,input,working_set_bytes,working_set_note,dcache_size,policy,status,trace_rows,issued,span_cycles,ipc,read_misses,non_cold_misses,reuse_hit_pct,unique_lines,line_local_pct,overflow_sets,read_hit_pct,reuse_access_ratio,line_stride_64_plus_pct,max_unique_tags_per_set,same_set_tag_changes,artifact
20,sgemm3,N32_T4,12288,3*N*N*4=12288B; local tiles=2*T*T*4=128B,512,gCAWS,ok,26309,2688,274769,0.009783,29616,28618,17,1061,13.02,2,17,97.03,43.73,658,23309,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run20/gCAWS/sgemm3
21,sgemm3,N32_T4,12288,3*N*N*4=12288B; local tiles=2*T*T*4=128B,1024,RR,ok,22825,2688,277679,0.009680,29269,28273,18,1061,12.38,4,18,97.03,45.39,330,21278,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run21/RR/sgemm3
21,sgemm3,N32_T4,12288,3*N*N*4=12288B; local tiles=2*T*T*4=128B,1024,GTO,ok,13345,2688,252363,0.010651,29716,28755,17,1061,11.48,4,16,97.03,47.05,330,21405,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run21/GTO/sgemm3
21,sgemm3,N32_T4,12288,3*N*N*4=12288B; local tiles=2*T*T*4=128B,1024,gCAWS,ok,25027,2688,272102,0.009879,28144,27161,21,1061,13.03,4,21,97.03,43.78,330,21198,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run21/gCAWS/sgemm3
22,sgemm3,N32_T4,12288,3*N*N*4=12288B; local tiles=2*T*T*4=128B,2048,RR,ok,20680,2688,279439,0.009619,27534,26556,23,1061,12.57,8,22,97.03,45.04,293,13601,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run22/RR/sgemm3
22,sgemm3,N32_T4,12288,3*N*N*4=12288B; local tiles=2*T*T*4=128B,2048,GTO,ok,12599,2688,249471,0.010775,27973,27040,22,1061,11.56,8,21,97.03,46.74,293,13594,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run22/GTO/sgemm3
22,sgemm3,N32_T4,12288,3*N*N*4=12288B; local tiles=2*T*T*4=128B,2048,gCAWS,ok,26075,2688,271637,0.009896,26642,25674,25,1061,13.00,8,25,97.03,43.79,293,13610,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run22/gCAWS/sgemm3
23,sgemm3,N32_T4,12288,3*N*N*4=12288B; local tiles=2*T*T*4=128B,4096,RR,ok,21555,2688,273534,0.009827,25432,24450,29,1061,12.97,16,28,97.03,44.56,274,13349,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run23/RR/sgemm3
23,sgemm3,N32_T4,12288,3*N*N*4=12288B; local tiles=2*T*T*4=128B,4096,GTO,ok,12503,2688,247666,0.010853,25625,24683,28,1061,11.65,16,28,97.03,46.70,274,13313,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run23/GTO/sgemm3
23,sgemm3,N32_T4,12288,3*N*N*4=12288B; local tiles=2*T*T*4=128B,4096,gCAWS,ok,26848,2688,264874,0.010148,24903,23937,30,1061,13.05,16,30,97.03,43.72,274,13427,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run23/gCAWS/sgemm3
24,sgemm3,N32_T4,12288,3*N*N*4=12288B; local tiles=2*T*T*4=128B,8192,RR,ok,22204,2688,273510,0.009828,21638,20665,40,1061,12.73,32,39,97.03,44.87,265,13308,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run24/RR/sgemm3
24,sgemm3,N32_T4,12288,3*N*N*4=12288B; local tiles=2*T*T*4=128B,8192,GTO,ok,11942,2688,242258,0.011096,21472,20551,40,1061,11.67,32,39,97.03,46.71,265,13199,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run24/GTO/sgemm3
24,sgemm3,N32_T4,12288,3*N*N*4=12288B; local tiles=2*T*T*4=128B,8192,gCAWS,ok,29430,2688,266897,0.010071,20446,19472,43,1061,12.97,32,42,97.03,43.80,265,13379,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run24/gCAWS/sgemm3
25,sgemm3,N32_T4,12288,3*N*N*4=12288B; local tiles=2*T*T*4=128B,16384,RR,ok,17367,2688,270349,0.009943,14259,13313,61,1061,12.73,40,60,97.03,44.93,260,13259,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run25/RR/sgemm3
25,sgemm3,N32_T4,12288,3*N*N*4=12288B; local tiles=2*T*T*4=128B,16384,GTO,ok,13341,2688,237381,0.011324,13957,13074,62,1061,11.55,40,60,97.03,46.72,260,13105,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run25/GTO/sgemm3
25,sgemm3,N32_T4,12288,3*N*N*4=12288B; local tiles=2*T*T*4=128B,16384,gCAWS,ok,63778,2688,278052,0.009667,13941,12963,62,1061,13.09,40,60,97.03,43.74,260,13330,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run25/gCAWS/sgemm3
26,sgemm3,N32_T4,12288,3*N*N*4=12288B; local tiles=2*T*T*4=128B,32768,RR,ok,15122,2688,275155,0.009769,13881,12914,62,1061,13.43,3,61,97.03,44.06,258,13258,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run26/RR/sgemm3
26,sgemm3,N32_T4,12288,3*N*N*4=12288B; local tiles=2*T*T*4=128B,32768,GTO,ok,11834,2688,237135,0.011335,13608,12744,63,1061,11.46,3,61,97.03,46.86,258,13133,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run26/GTO/sgemm3
26,sgemm3,N32_T4,12288,3*N*N*4=12288B; local tiles=2*T*T*4=128B,32768,gCAWS,ok,57925,2688,278898,0.009638,13806,12808,63,1061,13.16,3,61,97.03,43.52,258,13305,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run26/gCAWS/sgemm3
27,kmeans,p32_f32_c8,5248,feature=4096B clusters=1024B membership=128B,1024,RR,ok,155751,11716,89316,0.131175,4449,3761,23,758,20.69,4,21,86.70,58.43,318,3442,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run27/RR/kmeans
27,kmeans,p32_f32_c8,5248,feature=4096B clusters=1024B membership=128B,1024,GTO,ok,136717,11716,71105,0.164770,4425,3769,23,758,20.16,4,22,86.70,58.89,318,3437,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run27/GTO/kmeans
27,kmeans,p32_f32_c8,5248,feature=4096B clusters=1024B membership=128B,1024,gCAWS,ok,126653,11716,85540,0.136965,4464,3797,23,758,20.48,4,21,86.70,58.45,318,3453,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run27/gCAWS/kmeans
28,kmeans,p32_f32_c8,5248,feature=4096B clusters=1024B membership=128B,4096,RR,ok,156309,11716,90612,0.129299,4385,3749,24,758,20.69,16,23,86.70,58.41,271,3091,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run28/RR/kmeans
28,kmeans,p32_f32_c8,5248,feature=4096B clusters=1024B membership=128B,4096,GTO,ok,133107,11716,70528,0.166118,4331,3715,24,758,20.14,16,24,86.70,58.96,271,3050,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run28/GTO/kmeans
28,kmeans,p32_f32_c8,5248,feature=4096B clusters=1024B membership=128B,4096,gCAWS,ok,125447,11716,87921,0.133256,4364,3734,24,758,20.48,16,23,86.70,58.47,271,3080,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run28/gCAWS/kmeans
29,kmeans,p32_f32_c8,5248,feature=4096B clusters=1024B membership=128B,8192,RR,ok,154628,11716,90146,0.129967,4265,3678,25,758,20.74,32,25,86.70,58.36,263,3060,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run29/RR/kmeans
29,kmeans,p32_f32_c8,5248,feature=4096B clusters=1024B membership=128B,8192,GTO,ok,135660,11716,71027,0.164951,4219,3609,26,758,20.16,32,25,86.70,58.94,263,3016,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run29/GTO/kmeans
29,kmeans,p32_f32_c8,5248,feature=4096B clusters=1024B membership=128B,8192,gCAWS,ok,125216,11716,86567,0.135340,4274,3686,25,758,20.42,32,25,86.70,58.50,263,3048,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run29/gCAWS/kmeans
30,kmeans,p32_f32_c8,5248,feature=4096B clusters=1024B membership=128B,16384,RR,ok,147580,11716,88331,0.132637,3113,2590,47,758,20.69,14,45,86.70,58.43,259,3026,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run30/RR/kmeans
30,kmeans,p32_f32_c8,5248,feature=4096B clusters=1024B membership=128B,16384,GTO,ok,128301,11716,68810,0.170266,3087,2589,47,758,20.20,14,45,86.70,58.87,259,3003,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run30/GTO/kmeans
30,kmeans,p32_f32_c8,5248,feature=4096B clusters=1024B membership=128B,16384,gCAWS,ok,119164,11716,84626,0.138444,3102,2584,47,758,20.46,14,45,86.70,58.47,259,3036,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run30/gCAWS/kmeans
31,kmeans,p32_f32_c8,5248,feature=4096B clusters=1024B membership=128B,32768,RR,ok,146156,11716,86444,0.135533,3067,2580,47,758,20.67,2,46,86.70,58.43,258,3022,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run31/RR/kmeans
